customer_id,age,city,annual_income,car_brand,car_model,car_age_years,mileage_km,preferred_service_center,loyalty_score,price_sensitivity,tech_savviness,preferred_communication,registration_date
CUST_00001,43,Mumbai,1144694,Kia,Sonet,3,56579,Malad,0.82,0.74,0.69,App,2025-01-04 05:00:18.655244
CUST_00002,45,Mumbai,1256908,Hyundai,Creta,3,152475,Andheri West,0.72,0.65,0.48,App,2023-02-23 05:00:18.655244
CUST_00003,35,Lucknow,1106345,Hyundai,Tucson,12,61853,Aliganj,0.79,0.47,0.57,SMS,2024-04-17 05:00:18.655244
CUST_00004,56,Pune,1030230,Hyundai,Grand i10,1,114104,Hinjewadi,0.89,0.68,0.59,Phone,2022-12-04 05:00:18.655244
CUST_00005,32,Kolkata,1417024,Mahindra,Bolero,10,182141,Salt Lake,0.92,0.49,0.66,SMS,2025-02-09 05:00:18.655244
CUST_00006,32,Chennai,1013708,Hyundai,Tucson,3,46476,Velachery,0.57,0.56,0.51,Email,2024-08-02 05:00:18.655244
CUST_00007,40,Chennai,434687,Hyundai,Elantra,10,38717,Velachery,0.73,0.34,0.61,SMS,2024-08-01 05:00:18.655244
CUST_00008,22,Hyderabad,487542,Maruti Suzuki,Vitara Brezza,5,34663,Madhapur,0.46,0.23,0.84,Email,2023-04-02 05:00:18.655244
CUST_00009,25,Chennai,662849,Hyundai,Verna,3,191819,Tambaram,0.65,0.91,0.78,WhatsApp,2024-09-12 05:00:18.655244
CUST_00010,27,Chennai,317539,Hyundai,Verna,11,173245,Tambaram,0.6,0.67,0.78,Email,2024-04-08 05:00:18.656242
CUST_00011,55,Bangalore,732267,Tata,Nexon,12,32351,Marathahalli,0.9,0.32,0.6,SMS,2023-02-18 05:00:18.656242
CUST_00012,38,Kolkata,630100,Hyundai,Grand i10,8,85906,New Town,0.98,0.89,0.68,Phone,2024-11-09 05:00:18.656242
CUST_00013,31,Jaipur,1244369,Kia,Seltos,4,133971,Vaishali Nagar,0.41,0.2,0.7,Email,2022-09-10 05:00:18.656242
CUST_00014,24,Jaipur,675139,Hyundai,Verna,10,153080,Malviya Nagar,0.73,0.32,0.93,SMS,2025-06-30 05:00:18.656242
CUST_00015,30,Ahmedabad,1083322,Hyundai,Verna,12,100612,Satellite,0.47,0.39,0.68,App,2025-01-21 05:00:18.656242
CUST_00016,30,Ahmedabad,1940911,MG,ZS EV,2,192949,Satellite,0.63,0.64,0.53,Email,2023-02-16 05:00:18.656242
CUST_00017,37,Jaipur,776915,Hyundai,Verna,6,196078,C-Scheme,0.75,0.55,0.79,App,2022-12-20 05:00:18.656242
CUST_00018,47,Chennai,433746,Tata,Nexon,9,165207,T. Nagar,0.46,0.38,0.34,Phone,2025-03-03 05:00:18.656242
CUST_00019,40,Mumbai,416131,Maruti Suzuki,Dzire,3,93001,Thane,0.77,0.37,0.57,SMS,2022-11-06 05:00:18.656242
CUST_00020,22,Ahmedabad,639372,Maruti Suzuki,Swift,1,192748,Maninagar,0.6,0.54,0.77,WhatsApp,2025-03-13 05:00:18.656242
CUST_00021,46,Delhi,851410,Honda,Civic,5,48644,Connaught Place,0.47,0.35,0.5,WhatsApp,2024-09-17 05:00:18.656242
CUST_00022,36,Hyderabad,1079558,Tata,Tiago,1,136164,Kukatpally,0.87,0.88,0.63,Phone,2025-03-20 05:00:18.656242
CUST_00023,22,Jaipur,456031,Maruti Suzuki,Ertiga,3,63597,Malviya Nagar,0.58,0.59,0.9,WhatsApp,2025-03-03 05:00:18.656242
CUST_00024,32,Mumbai,1622848,Skoda,Kushaq,4,130888,Powai,0.79,0.78,0.55,App,2022-10-09 05:00:18.656242
CUST_00025,42,Hyderabad,494783,Maruti Suzuki,Dzire,11,162133,Gachibowli,0.34,0.45,0.55,Phone,2022-10-29 05:00:18.656242
CUST_00026,41,Jaipur,1045967,Hyundai,Venue,1,68712,C-Scheme,0.35,0.25,0.65,SMS,2023-03-28 05:00:18.656242
CUST_00027,29,Lucknow,722335,Hyundai,Venue,0,182367,Hazratganj,0.36,0.73,0.74,App,2023-09-23 05:00:18.656242
CUST_00028,50,Chennai,1079384,Tata,Altroz,6,54308,Velachery,0.77,0.44,0.58,Email,2025-02-03 05:00:18.656242
CUST_00029,27,Lucknow,538157,Maruti Suzuki,Dzire,3,152614,Gomti Nagar,0.49,0.95,0.7,Phone,2024-02-17 05:00:18.656242
CUST_00030,41,Bangalore,1590218,MG,Astor,9,191435,Electronic City,0.67,0.73,0.61,App,2023-10-27 05:00:18.656242
CUST_00031,32,Delhi,1125736,Kia,Seltos,1,165024,Lajpat Nagar,0.41,0.43,0.78,SMS,2023-07-30 05:00:18.656242
CUST_00032,24,Hyderabad,360758,Tata,Altroz,0,44195,Madhapur,0.74,0.86,0.76,Phone,2025-06-24 05:00:18.656242
CUST_00033,47,Bangalore,1206872,Tata,Tigor,7,164619,Jayanagar,0.79,0.65,0.4,Phone,2025-01-28 05:00:18.656242
CUST_00034,37,Bangalore,1601413,Toyota,Camry,9,164841,Marathahalli,0.4,0.3,0.78,Email,2023-06-16 05:00:18.656242
CUST_00035,42,Mumbai,941952,Tata,Tigor,3,194832,Thane,0.37,0.82,0.77,WhatsApp,2024-08-19 05:00:18.656242
CUST_00036,42,Chennai,1815214,Honda,Jazz,0,67018,Anna Nagar,0.82,0.47,0.78,WhatsApp,2024-02-09 05:00:18.656242
CUST_00037,37,Delhi,1825857,Toyota,Glanza,3,72316,Dwarka,0.87,0.57,0.58,Email,2024-03-22 05:00:18.656242
CUST_00038,22,Chennai,764380,Tata,Altroz,1,93170,OMR,0.55,0.61,0.77,App,2023-08-23 05:00:18.656242
CUST_00039,39,Delhi,1080397,Tata,Punch,4,30028,Karol Bagh,0.38,0.55,0.78,Email,2023-01-20 05:00:18.656242
CUST_00040,39,Jaipur,404972,Tata,Punch,3,86773,Malviya Nagar,0.33,0.55,0.68,App,2024-05-24 05:00:18.656242
CUST_00041,35,Delhi,1342845,Kia,Carens,10,52669,Janakpuri,0.8,0.44,0.61,Email,2023-03-18 05:00:18.656242
CUST_00042,55,Hyderabad,644518,Maruti Suzuki,Baleno,6,194307,Madhapur,0.96,0.74,0.4,SMS,2023-10-24 05:00:18.656242
CUST_00043,28,Mumbai,499648,Tata,Harrier,6,172039,Thane,0.72,0.46,0.82,WhatsApp,2023-01-08 05:00:18.656242
CUST_00044,48,Jaipur,898625,Tata,Tigor,1,94392,Mansarovar,0.66,0.71,0.5,Email,2024-12-22 05:00:18.656242
CUST_00045,31,Chennai,1405306,Tata,Tiago,3,58627,Velachery,0.32,0.4,0.75,WhatsApp,2025-02-02 05:00:18.656242
CUST_00046,39,Lucknow,1587457,Volkswagen,Taigun,6,83959,Hazratganj,0.4,0.75,0.64,Phone,2023-02-12 05:00:18.656242
CUST_00047,29,Jaipur,534467,Maruti Suzuki,Dzire,3,51813,Mansarovar,0.62,0.84,0.77,App,2023-09-21 05:00:18.656242
CUST_00048,33,Ahmedabad,614594,Hyundai,Grand i10,2,144433,Maninagar,0.62,0.8,0.79,Email,2022-10-13 05:00:18.656242
CUST_00049,41,Hyderabad,1304422,Hyundai,Elantra,4,81471,Kukatpally,0.49,0.46,0.69,App,2025-01-17 05:00:18.656242
CUST_00050,38,Chennai,1106165,Tata,Tigor,3,36837,OMR,0.59,0.46,0.54,WhatsApp,2023-03-03 05:00:18.656242
CUST_00051,22,Kolkata,515870,Hyundai,Elantra,0,170913,New Town,0.57,0.2,0.72,Email,2023-10-29 05:00:18.657243
CUST_00052,33,Kolkata,879089,Mahindra,XUV300,3,147986,Rajarhat,0.45,0.55,0.73,Phone,2023-04-27 05:00:18.657243
CUST_00053,36,Kolkata,1361620,Honda,Amaze,9,160017,Park Street,0.32,0.52,0.6,App,2025-05-07 05:00:18.657243
CUST_00054,60,Kolkata,852373,Honda,Amaze,0,88198,Park Street,0.57,0.37,0.33,Email,2023-08-10 05:00:18.657243
CUST_00055,41,Kolkata,1170221,Honda,WR-V,1,143288,Howrah,0.31,0.63,0.73,Email,2024-03-29 05:00:18.657243
CUST_00056,22,Mumbai,594697,Maruti Suzuki,Baleno,0,182879,Andheri West,0.41,0.3,0.9,Phone,2024-04-11 05:00:18.657243
CUST_00057,38,Hyderabad,2185296,Honda,CR-V,9,50024,Secunderabad,0.84,0.33,0.64,Email,2024-11-22 05:00:18.657243
CUST_00058,35,Hyderabad,1320618,Honda,Jazz,11,71990,Madhapur,0.35,0.75,0.67,SMS,2024-12-05 05:00:18.657243
CUST_00059,37,Hyderabad,732528,Maruti Suzuki,Ertiga,9,30766,Madhapur,0.54,0.54,0.71,Email,2025-02-10 05:00:18.657243
CUST_00060,51,Pune,1025579,Honda,Jazz,1,133645,Hinjewadi,0.97,0.71,0.45,WhatsApp,2024-08-22 05:00:18.657243
CUST_00061,47,Jaipur,527183,Hyundai,Tucson,8,146745,Vaishali Nagar,0.63,0.86,0.43,App,2023-12-30 05:00:18.657243
CUST_00062,54,Chennai,379444,Tata,Safari,3,141820,T. Nagar,0.7,0.73,0.4,Email,2025-05-04 05:00:18.657243
CUST_00063,45,Pune,1457136,Honda,Amaze,5,87725,Aundh,0.54,0.9,0.45,Email,2025-06-11 05:00:18.657243
CUST_00064,26,Chennai,486740,Maruti Suzuki,Vitara Brezza,6,148077,T. Nagar,0.69,0.39,0.85,WhatsApp,2022-09-30 05:00:18.657243
CUST_00065,39,Mumbai,998609,Kia,Sonet,6,83780,Andheri West,0.51,0.67,0.63,WhatsApp,2023-07-28 05:00:18.657243
CUST_00066,22,Jaipur,613712,Tata,Tigor,7,91019,Vaishali Nagar,0.51,0.38,0.83,SMS,2023-09-24 05:00:18.657243
CUST_00067,25,Jaipur,694718,Maruti Suzuki,Baleno,11,146929,C-Scheme,0.49,0.67,0.74,App,2023-11-30 05:00:18.657243
CUST_00068,26,Chennai,909986,Tata,Altroz,2,99237,Velachery,0.31,0.63,0.99,Email,2025-03-30 05:00:18.657243
CUST_00069,28,Jaipur,535587,Hyundai,Creta,10,148680,Vaishali Nagar,0.37,0.21,0.99,Email,2022-11-13 05:00:18.657243
CUST_00070,47,Pune,430740,Maruti Suzuki,Alto,7,49907,Aundh,0.88,0.52,0.44,Phone,2025-03-14 05:00:18.657243
CUST_00071,40,Lucknow,1722857,Toyota,Fortuner,1,166295,Aliganj,0.84,0.69,0.55,App,2024-03-26 05:00:18.657243
CUST_00072,22,Kolkata,636926,Tata,Altroz,9,132415,New Town,0.51,0.7,0.93,App,2024-12-10 05:00:18.657243
CUST_00073,41,Chennai,1512729,Skoda,Rapid,2,82879,Anna Nagar,0.42,0.26,0.78,Phone,2023-03-18 05:00:18.657243
CUST_00074,23,Lucknow,335908,Tata,Nexon,3,95524,Indira Nagar,0.79,0.76,0.84,WhatsApp,2025-02-06 05:00:18.657243
CUST_00075,44,Hyderabad,1318793,Tata,Safari,1,162753,Madhapur,0.46,0.32,0.71,Email,2024-09-13 05:00:18.657243
CUST_00076,41,Bangalore,1338579,Mahindra,KUV100,9,95657,Jayanagar,0.61,0.57,0.52,Email,2023-03-30 05:00:18.657243
CUST_00077,29,Jaipur,646450,Tata,Nexon,9,30449,Mansarovar,0.92,0.79,0.98,App,2024-02-05 05:00:18.657826
CUST_00078,41,Chennai,914259,Mahindra,XUV700,12,196234,Tambaram,0.87,0.66,0.51,SMS,2022-11-11 05:00:18.657826
CUST_00079,60,Ahmedabad,942149,Tata,Punch,6,186405,Prahlad Nagar,0.87,0.98,0.46,WhatsApp,2023-07-20 05:00:18.657826
CUST_00080,23,Pune,731310,Maruti Suzuki,Alto,6,149884,Hinjewadi,0.5,0.96,0.82,App,2025-04-17 05:00:18.657826
CUST_00081,26,Pune,757416,Tata,Nexon,12,125952,Kothrud,0.91,0.86,0.84,Phone,2022-11-28 05:00:18.657826
CUST_00082,51,Chennai,553795,Tata,Punch,12,150676,Tambaram,0.74,0.81,0.42,SMS,2024-01-02 05:00:18.657826
CUST_00083,49,Hyderabad,923834,Honda,City,0,185156,Kukatpally,0.73,0.39,0.46,SMS,2023-10-04 05:00:18.657826
CUST_00084,47,Jaipur,1369037,Hyundai,Creta,1,140965,Mansarovar,0.96,0.72,0.47,SMS,2022-09-15 05:00:18.657826
CUST_00085,35,Hyderabad,898505,Kia,Carnival,7,143789,Madhapur,0.47,0.64,0.78,WhatsApp,2024-06-06 05:00:18.657826
