service_id,customer_id,service_date,service_type,service_center,city,promised_duration_hours,actual_duration_hours,delay_hours,labor_cost,parts_cost,total_cost,technician_skill_rating,wait_time_minutes,communication_satisfaction,overall_satisfaction,recommendation_score,nps_category,follow_up_received,issue_resolved_first_visit,service_advisor_rating,facility_cleanliness_rating,parts_availability,booking_method,pickup_dropoff_used,warranty_claim
SRV_000001,CUST_01401,2024-01-06 05:00:18.736244,Regular Service,Kothrud,Pune,2.3,2.0,0.0,2553.0,172.0,2725.0,0.97,78.0,3.6,4.7,9.2,Promoter,True,True,3.7,3.8,Available,Phone,True,False
SRV_000002,CUST_00669,2026-01-18 05:00:18.691243,Major Service,Hinjewadi,Pune,7.2,7.4,0.2,21027.0,5181.0,26208.0,0.84,112.0,3.2,3.1,4.2,Detractor,False,True,4.7,3.8,Not Available,Phone,False,False
SRV_000003,CUST_01073,2023-09-23 05:00:18.701242,Regular Service,C-Scheme,Jaipur,2.3,1.9,0.0,5073.0,169.0,5242.0,0.85,34.0,3.6,4.2,7.8,Passive,False,True,4.1,4.9,Available,Online,True,False
SRV_000004,CUST_01767,2023-08-12 05:00:18.761245,Regular Service,Baner,Pune,3.3,2.4,0.0,2471.0,889.0,3360.0,0.87,89.0,4.3,4.6,9.2,Promoter,False,True,3.1,4.2,Not Available,Online,False,False
SRV_000005,CUST_00218,2025-11-29 05:00:18.661250,Regular Service,Banjara Hills,Hyderabad,3.3,3.6,0.3,2285.0,40.0,2325.0,0.93,14.0,3.8,4.1,7.9,Passive,False,True,3.3,4.4,Delayed,Online,False,False
SRV_000006,CUST_00132,2025-01-14 05:00:18.659245,Oil Change,C-Scheme,Jaipur,1.3,1.3,0.0,2955.0,495.0,3450.0,0.82,48.0,4.0,3.9,7.2,Passive,True,True,4.4,4.7,Not Available,Mobile App,True,False
SRV_000007,CUST_01744,2023-09-28 05:00:18.761245,AC Service,T. Nagar,Chennai,2.8,3.6,0.8,2830.0,366.0,3196.0,0.84,90.0,4.0,4.4,7.6,Passive,True,True,4.8,4.4,Not Available,Online,False,False
SRV_000008,CUST_00758,2023-09-09 05:00:18.693242,Brake Service,Madhapur,Hyderabad,2.9,2.2,0.0,6087.0,1030.0,7117.0,0.91,83.0,3.0,4.2,7.0,Passive,False,True,3.5,4.0,Not Available,Walk-in,False,False
SRV_000009,CUST_01196,2025-11-29 05:00:18.722244,Regular Service,Madhapur,Hyderabad,2.2,2.4,0.2,3825.0,771.0,4596.0,0.7,39.0,3.3,4.3,7.6,Passive,True,False,4.2,3.5,Delayed,Walk-in,True,False
SRV_000010,CUST_01900,2025-09-09 05:00:18.765246,Oil Change,Dwarka,Delhi,1.3,2.3,1.0,2272.0,359.0,2631.0,0.65,74.0,3.1,3.8,8.0,Passive,False,True,3.1,4.8,Available,Walk-in,False,False
